CellStage,CellID,CellLabel,CellProtocol
6.0,x1_S6c_b1.bcGKQU,ph,x1
6.0,x1_S6c_b1.bcFTQO,ec,x1
6.0,x1_S6c_b1.bcCKCD,ec,x1
6.0,x1_S6c_b1.bcCSUF,ph,x1
6.0,x1_S6c_b1.bcESZA,ph,x1
6.0,x1_S6c_b1.bcHWYL,ec,x1
6.0,x1_S6c_b1.bcFFXS,scbeta,x1
6.0,x1_S6c_b1.bcDQGJ,exo,x1
6.0,x1_S6c_b1.bcDACC,ph,x1
6.0,x1_S6c_b1.bcGMDV,scbeta,x1
6.0,x1_S6c_b1.bcHVVF,ph__pre,x1
6.0,x1_S6c_b1.bcFWGX,ph,x1
6.0,x1_S6c_b1.bcHTLZ,ph,x1
6.0,x1_S6c_b1.bcHFFR,ph,x1
6.0,x1_S6c_b1.bcHXSG,exo,x1
6.0,x1_S6c_b1.bcBNVX,exo,x1
6.0,x1_S6c_b1.bcEZTQ,ph,x1
6.0,x1_S6c_b1.bcESHD,ph__pre,x1
6.0,x1_S6c_b1.bcBVNN,scbeta,x1
6.0,x1_S6c_b1.bcHPMC,ph,x1
6.0,x1_S6c_b1.bcEPPZ,ph__pre,x1
6.0,x1_S6c_b1.bcGXUZ,ph,x1
6.0,x1_S6c_b1.bcAZLW,scbeta,x1
6.0,x1_S6c_b1.bcIJZH,exo,x1
6.0,x1_S6c_b1.bcCEKX,ph,x1
6.0,x1_S6c_b1.bcHGSS,ph,x1
6.0,x1_S6c_b1.bcDDVL,scbeta,x1
6.0,x1_S6c_b1.bcDLVN,ph,x1
6.0,x1_S6c_b1.bcFVMT,repl,x1
6.0,x1_S6c_b1.bcAWIP,foxj1,x1
6.0,x1_S6c_b1.bcDPSL,ph,x1
6.0,x1_S6c_b1.bcHYNA,ph,x1
6.0,x1_S6c_b1.bcDUQD,ph,x1
6.0,x1_S6c_b1.bcDJHK,ph,x1
6.0,x1_S6c_b1.bcDYPQ,exo,x1
6.0,x1_S6c_b1.bcFQIT,ph,x1
6.0,x1_S6c_b1.bcDZNX,ph__pre,x1
6.0,x1_S6c_b1.bcDBAG,scbeta,x1
