CellID,CellStage,CellLabel,CellProtocol
x2_S3c_b1.bcFFPA,3.0,pdx1,x2
x2_S3c_b1.bcDVVS,3.0,pdx1,x2
x2_S3c_b1.bcDINL,3.0,pdx1,x2
x2_S3c_b1.bcDOAP,3.0,repl,x2
x2_S3c_b1.bcCYKO,3.0,repl,x2
x2_S3c_b1.bcGDIQ,3.0,pdx1,x2
x2_S3c_b1.bcIBKQ,3.0,pdx1,x2
x2_S3c_b1.bcFUFX,3.0,pdx1,x2
x2_S3c_b1.bcGMQS,3.0,repl,x2
x2_S3c_b1.bcEOXF,3.0,pdx1,x2
x2_S3c_b1.bcHXGI,3.0,repl,x2
x2_S3c_b1.bcEEZF,3.0,pdx1,x2
x2_S3c_b1.bcHMOK,3.0,pdx1,x2
x2_S3c_b1.bcAZNR,3.0,repl,x2
x2_S3c_b1.bcCSIQ,3.0,pdx1,x2
x2_S3c_b1.bcFDRN,3.0,pdx1,x2
x2_S3c_b1.bcBLDS,3.0,repl,x2
x2_S3c_b1.bcFDGG,3.0,pdx1,x2
x2_S3c_b1.bcFMJT,3.0,pdx1,x2
x2_S3c_b1.bcENOO,3.0,pdx1,x2
x2_S3c_b1.bcFVWD,3.0,pdx1,x2
x2_S3c_b1.bcHQQU,3.0,repl,x2
x2_S3c_b1.bcFJOR,3.0,pdx1,x2
x2_S3c_b1.bcBLNG,3.0,pdx1,x2
x2_S3c_b1.bcEHJH,3.0,pdx1,x2
x2_S3c_b1.bcCAYP,3.0,pdx1,x2
x2_S3c_b1.bcBDKH,3.0,pdx1,x2
x2_S3c_b1.bcEBPY,3.0,pdx1,x2
x2_S3c_b1.bcGKLA,3.0,pdx1,x2
x2_S3c_b1.bcEOQF,3.0,pdx1,x2
x2_S3c_b1.bcGBNJ,3.0,pdx1,x2
x2_S3c_b1.bcCCML,3.0,pdx1,x2
x2_S3c_b1.bcGMOV,3.0,pdx1,x2
x2_S3c_b1.bcFEKH,3.0,repl,x2
x2_S3c_b1.bcHYJP,3.0,pdx1,x2
x2_S3c_b1.bcATAD,3.0,pdx1,x2
x2_S3c_b1.bcGHFG,3.0,repl,x2
x2_S3c_b1.bcDGJV,3.0,pdx1,x2
x2_S3c_b1.bcHWOD,3.0,pdx1,x2
x2_S3c_b1.bcHKYF,3.0,pdx1,x2
x2_S3c_b1.bcHDOP,3.0,pdx1,x2
x2_S3c_b1.bcGTJX,3.0,pdx1,x2
x2_S3c_b1.bcDBDN,3.0,pdx1,x2
x2_S3c_b1.bcGZYG,3.0,pdx1,x2
x2_S3c_b1.bcHDWO,3.0,repl,x2
x2_S3c_b1.bcDWRG,3.0,pdx1,x2
x2_S3c_b1.bcCYVR,3.0,pdx1,x2
x2_S3c_b1.bcCYBU,3.0,repl,x2
x2_S3c_b1.bcCBKJ,3.0,pdx1,x2
x2_S3c_b1.bcHTHI,3.0,repl,x2
x2_S3c_b1.bcCIJZ,3.0,pdx1,x2
x2_S3c_b1.bcEVNV,3.0,pdx1,x2
x2_S3c_b1.bcIEVA,3.0,pdx1,x2
x2_S3c_b1.bcHSXY,3.0,repl,x2
x2_S3c_b1.bcBYRG,3.0,repl,x2
x2_S3c_b1.bcGWBT,3.0,pdx1,x2
x2_S3c_b1.bcFDLA,3.0,pdx1,x2
x2_S3c_b1.bcFBNG,3.0,pdx1,x2
x2_S3c_b1.bcDWYB,3.0,pdx1,x2
x2_S3c_b1.bcCRDZ,3.0,repl,x2
x2_S3c_b1.bcGYBV,3.0,repl,x2
x2_S3c_b1.bcAJUB,3.0,pdx1,x2
x2_S3c_b1.bcHHHZ,3.0,pdx1,x2
x2_S3c_b1.bcCATZ,3.0,repl,x2
x2_S3c_b1.bcHRVH,3.0,repl,x2
x2_S3c_b1.bcIARB,3.0,repl,x2
x2_S3c_b1.bcIENV,3.0,repl,x2
x2_S3c_b1.bcGLSH,3.0,pdx1,x2
x2_S3c_b1.bcFJRU,3.0,repl,x2
x2_S3c_b1.bcGKHN,3.0,pdx1,x2
x2_S3c_b1.bcFTTL,3.0,pdx1,x2
x2_S3c_b1.bcBLDM,3.0,repl,x2
x2_S3c_b1.bcHFPW,3.0,pdx1,x2
x2_S3c_b1.bcBDRP,3.0,pdx1,x2
x2_S3c_b1.bcEKBS,3.0,repl,x2
x2_S3c_b1.bcHMBE,3.0,pdx1,x2
x2_S3c_b1.bcDSYV,3.0,pdx1,x2
x2_S3c_b1.bcDPQN,3.0,repl,x2
