Gene Symbol,"Expression (tpm)
NKX6.1+ progenitors
(from Stage 5, v8)","Expression (tpm)
Stage 6 SC-beta cells
(all weeks, v8)","Expression (tpm)
Human islet beta cells
(Baron et. al)","log2 fold-change
NKX6.1+ cells
compared to
SC-beta cells","log2 fold-change
NKX6.1+ cells
compared to
islet beta cells","log2 fold-change
SC-beta cells
compared to
islet beta cells"
AURKB,54.33109932,1,1,-5.763706333,-5.763706333,0
SOX3,53.24136381,1,1,-5.734475622,-5.734475622,0
BMP7,52.85217255,1,3.177393755,-5.723890871,-4.056046986,1.667843886
CCNB2,52.69649605,1,1,-5.719635131,-5.719635131,0
BIRC5,51.84027529,1,4.558869301,-5.696001474,-3.507325425,2.188676049
ARHGEF19,174.5911974,3.431409677,1,-5.669035632,-7.447837012,-1.77880138
IFITM3,188.6799209,3.712161378,12.70957502,-5.667537661,-3.891953205,1.775584456
PTPN14,50.36134851,1,12.98587013,-5.654245009,-1.955374228,3.698870781
NOTCH1,199.9664673,3.992913078,1,-5.646172616,-7.643614282,-1.997441666
HMGCS2,71.68902934,1.466147771,1,-5.611649935,-6.163680453,-0.552030518
MKI67,48.88242174,1,1,-5.611243856,-5.611243856,0
RHBDF1,48.57106874,1,1,-5.602025326,-5.602025326,0
NFIB,47.79268622,1,2.693877314,-5.578717953,-4.149033804,1.429684148
MYBL2,51.84027529,1.09181217,1,-5.569276791,-5.696001474,-0.126724683
NR5A2,47.24781847,1,3.591836419,-5.562175813,-3.717454166,1.844721648
HOXA3,74.56904463,1.590926305,1,-5.550637945,-6.220504953,-0.669867008
DNAJC15,46.3915977,1,63.96231777,-5.535791628,0.463358685,5.999150313
ADAMTS16,46.31375945,1,1,-5.533368965,-5.533368965,0
TEAD2,235.0715186,5.115919882,1,-5.52196227,-7.876955941,-2.354993671
ASPM,45.76889169,1,1,-5.516295452,-5.516295452,0
METRNL,49.7386425,1.09181217,15.26530478,-5.509570545,-1.704110739,3.805459806
CDK1,57.98949713,1.27897997,1,-5.502726052,-5.857719723,-0.354993671
FILIP1L,43.58942066,1,4.144426637,-5.445906124,-3.394733599,2.051172525
FZD8,43.51158241,1,1,-5.44332758,-5.44332758,0
FZD5,574.835485,13.28891384,14.2982719,-5.434854026,-5.329236426,0.1056176
MYC,43.12239115,1,1,-5.430365273,-5.430365273,0
VCAN,1287.21116,29.88445882,5.664049738,-5.428709512,-7.828199089,-2.399489578
ONECUT1,42.65536165,1,1,-5.41465519,-5.41465519,0
EGFR,92.08265115,2.18362434,1,-5.398132782,-6.524857465,-1.126724683
GJA4,42.03265564,1,1,-5.393438704,-5.393438704,0
CNN2,313.610314,7.580295922,2.624803537,-5.370575027,-6.900619754,-1.530044727
