Gene Symbol,log2 fold-change Start vs. end ,pseudotime 0, pseudotime 1 on SC-beta branch,pseudotime 1 on SC-EC branch,log2 fold-change SC-beta vs. SC-EC,log likelihood of GLM model with pseudotime and branching,"log likelihood of GLM model with pseudotime, but no branching",log likelihood of GLM model without pseudotime or branching,(Pseudotime vs. Reduced) FDR corrected q-value from likelihood ratio test,(Branched vs. Pseudotime) FDR corrected q-value from likelihood ratio test
CRISPLD1,5.567784294,0.1,1.638055963,8.759766877,2.280480291,-36294.91018,-35862.16659,-36294.91018,2.4941E-299,2.4258E-183
PTHLH,4.629649803,0.1,0.121689416,4.552790001,4.964274491,-18911.94096,-18481.42347,-18911.94096,2.4941E-299,2.1658E-182
TGFB2-OT1,-0.281118162,0.924040641,2.639693769,0.1,-4.555153179,-15819.71249,-15396.79906,-15819.71249,5.9832E-159,4.1393E-179
HADH,0.904949511,0.738057521,2.947166795,0.134984086,-4.189539011,-16582.53968,-16162.92004,-16582.53968,2.4941E-299,1.0741E-177
PAX6,4.692576614,0.1,5.629457927,0.600084414,-3.040864859,-25655.88044,-25244.80546,-25655.88044,2.4941E-299,5.2534E-174
HSPA5,0.73469858,6.333383736,18.52522003,6.868512573,-1.378553871,-61441.26199,-61031.3785,-61441.26199,2.7259E-126,1.6765E-173
ITGB1,0.203687018,4.362810632,11.41637707,3.226351759,-1.80605139,-45767.11869,-45362.72102,-45767.11869,2.32329E-30,3.8827E-171
PCP4,5.567958697,0.1,16.2829067,0.209701187,-6.1397332,-8036.39695,-7640.12541,-8036.39695,2.4941E-299,1.2528E-167
FABP7,3.660120966,0.1,0.232493708,1.927659449,2.958297193,-30699.35693,-30314.24132,-30699.35693,2.4941E-299,8.3023E-163
XBP1,0.754876081,3.956807895,12.28201536,3.538438206,-1.71480997,-53245.73326,-52868.12202,-53245.73326,7.9655E-111,1.4414E-159
STC1,5.431928469,0.1,0.223225106,7.970037587,4.909130117,-11722.30374,-11352.2945,-11722.30374,2.4941E-299,2.7591E-156
PDIA6,-0.065267921,4.119735149,7.652007778,1.84671192,-1.955856481,-45703.92317,-45334.49935,-45703.92317,0.000930021,4.829E-156
SLC18A1,3.132236583,0.1,0.1,1.55440184,4.024017558,-15889.78533,-15522.48124,-15889.78533,2.4941E-299,3.906E-155
FAM105A,2.833987323,0.179670438,3.58405171,0.608502473,-2.410815516,-35446.81994,-35091.46996,-35446.81994,2.4941E-299,5.7414E-150
SAMD5,0.2667321,0.400723939,1.463895604,0.10858361,-3.57338324,-20682.51555,-20340.26708,-20682.51555,2.3707E-72,2.6479E-144
NEFM,4.943493606,0.1,8.036264898,0.371980886,-4.278927505,-11534.41298,-11199.66086,-11534.41298,2.4941E-299,4.5645E-141
PCDH7,4.790750254,0.1,7.737225262,0.114704154,-5.820080987,-8759.690556,-8425.651627,-8759.690556,2.4941E-299,9.0963E-141
ARL4C,-0.50062274,1.941293678,3.02065023,0.229880925,-3.662205392,-14466.50161,-14133.00487,-14466.50161,1.1643E-115,1.5293E-140
CDKN1C,2.429197649,3.051820959,14.20447036,21.81458108,0.644365295,-73947.35394,-73614.42775,-73947.35394,2.4941E-299,2.6459E-140
NEUROG3,2.757931488,0.1,0.248408847,0.997716154,1.966383292,-40735.3512,-40423.44244,-40735.3512,2.4941E-299,3.2608E-131
VCAN,-3.075006039,34.77026956,1.353098736,3.803731589,1.490469334,-41827.59468,-41519.41256,-41827.59468,2.4941E-299,1.3121E-129
TMCC3,1.396031496,0.550577599,2.644338583,0.1,-4.721857945,-7777.316047,-7479.08394,-7777.316047,4.1553E-283,2.5673E-125
TENM3,0.84685228,0.473893095,2.069028396,0.278562412,-2.820361747,-23036.78045,-22738.55105,-23036.78045,4.2392E-174,2.5673E-125
DUSP4,1.925585218,1.080480123,1.34826362,7.62769185,2.383461928,-30406.06067,-30108.90902,-30406.06067,1.525E-167,7.3765E-125
WLS,-0.144034415,0.981779308,2.092174908,0.29671599,-2.714066543,-20968.82706,-20673.99947,-20968.82706,1.8745E-48,7.342E-124
MME,5.047757799,0.1,0.137708219,7.433696161,5.611576018,-5783.596408,-5493.939366,-5783.596408,2.4941E-299,1.247E-121
GABBR2,3.221365888,0.1,0.208990504,1.540739988,2.818272695,-16218.19428,-15930.6106,-16218.19428,2.4941E-299,9.6722E-121
FOXO1,1.873631466,0.253163979,2.101162776,0.164002249,-3.486186562,-16969.40562,-16688.61289,-16969.40562,1.1522E-190,8.2585E-118
ST6GALNAC5,3.918740396,0.1,3.490147252,0.302665691,-3.379979884,-18402.81075,-18128.33381,-18402.81075,2.4941E-299,4.3908E-115
B3GAT1,4.239300678,0.225921639,1.014819844,5.703687279,2.461860405,-17881.65442,-17611.17465,-17881.65442,2.4941E-299,2.3166E-113
PLXNA2,5.057705718,0.302603824,25.93818372,5.861737956,-2.056457572,-38132.10056,-37867.53802,-38132.10056,2.4941E-299,8.2778E-111
MYH10,-0.145220182,2.765912015,5.496580397,1.866197834,-1.506092275,-40724.92343,-40460.41306,-40724.92343,1.07103E-72,8.5788E-111
GPC4,2.377110348,0.1,0.1,0.960932503,3.263979342,-8913.112448,-8651.984713,-8913.112448,7.12816E-77,2.4545E-109
GNAS,1.455656728,13.02989022,56.30081019,22.11014021,-1.272507861,-66826.30344,-66567.08396,-66826.30344,2.4941E-299,1.617E-108
ARHGAP24,0.938587119,0.540543176,0.1,1.139499171,3.699039616,-11857.43355,-11600.01716,-11857.43355,2.4941E-299,9.5944E-108
ALDH1A1,1.057916246,2.157445358,9.105868017,2.916918731,-1.619905604,-37943.16491,-37687.2276,-37943.16491,2.54948E-49,4.1234E-107
OPCML,2.54023286,0.101907556,3.206032498,0.1,-4.871098829,-8766.309589,-8514.056289,-8766.309589,1.14406E-52,1.5937E-105
PAM,2.473400858,0.27507269,3.294097135,0.698389828,-2.108687727,-31132.82101,-30882.61467,-31132.82101,2.4941E-299,1.2062E-104
LOXL4,3.094735784,0.206452637,6.24347016,0.1,-5.663123804,-6173.114645,-5926.219659,-6173.114645,3.1729E-156,3.2168E-103
SST,0.824373973,0.237630893,2.949377225,0.564352813,-2.222400094,-19517.20157,-19276.35937,-19517.20157,8.3498E-186,1.3156E-100
PDGFA,-0.760916903,3.039886385,0.195383851,2.233423408,3.380561747,-17537.51984,-17298.91739,-17537.51984,2.4861E-101,1.2068E-99
FTL,-0.116598387,25.61252433,13.04515166,26.83535403,0.9976755,-67513.97742,-67276.81123,-67513.97742,2.4941E-299,4.9741E-99
FLRT3,1.851643551,0.251773581,0.449750295,1.868694037,1.991976428,-31591.12983,-31361.223,-31591.12983,2.4941E-299,6.76051E-96
PCDH9,3.602243639,0.1,0.149196273,2.185391285,3.689859655,-16601.15089,-16372.47125,-16601.15089,4.3854E-292,2.26319E-95
ADAMTS9,0.967512537,0.640646335,0.21991989,2.172435508,3.185763118,-19161.6048,-18940.927,-19161.6048,2.23935E-30,6.43634E-92
CNTNAP2,3.694399453,0.103480481,0.147341468,2.074666227,3.750646746,-10772.44755,-10552.03566,-10772.44755,2.4941E-299,8.27664E-92
OSTC,-0.343894136,3.871492096,5.280072013,1.803613656,-1.499118776,-41146.02541,-40930.40546,-41146.02541,3.37693E-14,9.63357E-90
CHST9,-0.690651055,1.319916031,1.37301529,0.1,-3.846726351,-9916.532352,-9701.134099,-9916.532352,1.6837E-189,1.18582E-89
MNX1,2.211398721,1.446857722,2.967327122,8.895978032,1.547609369,-40335.35821,-40123.77083,-40335.35821,2.4941E-299,5.19768E-88
C9orf16,1.926160855,0.393404907,0.866446532,2.494405876,1.528750133,-45217.93416,-45015.4387,-45217.93416,2.4941E-299,4.36453E-84
PRPS2,3.535048239,0.1,0.1,1.938168157,4.322863586,-10013.44907,-9811.305188,-10013.44907,2.4941E-299,6.11618E-84
GLS,0.548135629,0.726825819,2.557986817,0.325032727,-2.926894884,-16188.22878,-15988.15942,-16188.22878,2.20314E-19,4.76042E-83
FAM46A,3.028751859,0.120854181,2.46763265,0.239922382,-3.268101584,-11708.17638,-11508.99995,-11708.17638,2.8245E-133,1.14352E-82
DNAJB9,1.50471638,0.350467399,4.067130096,1.145212735,-1.766835989,-26792.71316,-26595.35061,-26792.71316,7.6527E-140,6.86826E-82
TTR,4.502856045,1.006528964,45.4330074,13.82597802,-1.652749809,-39513.96308,-39316.63197,-39513.96308,2.4941E-299,7.00317E-82
S100A11,-1.548675576,4.515420092,0.310986108,2.101178426,2.628825737,-27454.33985,-27257.83518,-27454.33985,2.964E-137,1.57512E-81
EDARADD,2.049341613,0.131326334,1.681120788,0.1,-4.056198246,-8028.829021,-7832.386426,-8028.829021,6.85797E-93,1.65622E-81
SSTR2,4.846113576,0.1,2.093912661,4.129067047,0.979365059,-36929.62932,-36733.99719,-36929.62932,2.4941E-299,3.6673E-81
ENC1,1.320740062,0.499667864,4.35962012,0.669278978,-2.630742262,-26568.44288,-26373.21987,-26568.44288,2.4941E-299,5.44771E-81
DCC,4.272067171,0.1,3.995179816,0.903673911,-2.095131911,-29821.75688,-29628.09977,-29821.75688,2.4941E-299,2.55827E-80
FAM134B,4.287218479,0.1,0.608129569,3.025990284,2.217325009,-26528.77447,-26335.94925,-26528.77447,2.4941E-299,5.78853E-80
MAN1A1,4.922629675,0.1,5.765646821,1.362465245,-1.991396704,-28501.46509,-28310.14477,-28501.46509,2.4941E-299,2.55867E-79
CDH1,-1.3800885,11.97435732,6.180535425,2.214631724,-1.436476682,-38002.89702,-37811.86485,-38002.89702,2.4941E-299,3.37139E-79
ZDHHC14,2.487113336,0.174843831,4.137593653,0.18526553,-4.271670733,-10951.88947,-10761.79343,-10951.88947,2.4988E-101,8.46439E-79
SLC7A2,2.019243567,0.427439921,4.774331964,0.827590603,-2.476564853,-20569.18174,-20380.87027,-20569.18174,2.47322E-54,4.94256E-78
IGF1R,0.255832345,1.817235457,3.967965996,0.864037227,-2.075280769,-28346.93154,-28160.06701,-28346.93154,3.6854E-101,2.06286E-77
HSP90B1,0.392833143,6.187782572,12.3789195,6.241866134,-0.952436022,-57549.73922,-57365.61377,-57549.73922,3.79231E-48,3.11287E-76
CADPS,1.072767802,1.612363466,7.090170013,2.141241006,-1.667811967,-40269.33914,-40086.00995,-40269.33914,3.3548E-163,6.8021E-76
OVOS2,4.540697382,0.1,0.1,6.326604738,5.404838953,-3471.333655,-3288.213484,-3471.333655,1.9543E-177,8.28932E-76
ITPR3,0.390542531,0.506644562,0.1,1.016314651,3.286072835,-9563.942291,-9383.032112,-9563.942291,3.97919E-11,7.39089E-75
SPINT2,-0.499820204,10.63719687,11.57205805,4.836966081,-1.201099938,-53943.02923,-53766.98197,-53943.02923,1.62731E-79,9.21613E-73
INSM1,6.462667739,0.142357058,19.37574388,30.56050106,0.619745018,-70890.21416,-70714.38436,-70890.21416,2.4941E-299,1.13286E-72
CXCL12,4.079732391,0.347580942,14.92472175,3.493757602,-2.009684488,-29374.60703,-29200.67967,-29374.60703,2.4941E-299,7.4381E-72
CAPN2,3.804008862,0.1,3.26090205,0.375028767,-3.022892466,-13717.67838,-13546.2255,-13717.67838,1.506E-201,8.62448E-71
KCTD12,4.147073071,0.1,0.500734126,2.708781151,2.339609595,-21943.67526,-21773.90751,-21943.67526,2.4941E-299,4.56197E-70
SFRP1,0.549184372,0.423391502,1.842816568,0.432708477,-2.080379852,-20595.89833,-20426.30698,-20595.89833,3.028E-272,5.38508E-70
ID1,-5.154004555,17.3388232,0.1,0.49726341,2.568512623,-26972.10065,-26803.81969,-26972.10065,2.4941E-299,1.96273E-69
ORMDL3,1.988492236,0.640609819,1.298066661,5.189732428,1.857018684,-38456.88098,-38288.79788,-38456.88098,2.4941E-299,2.36726E-69
EVL,1.038384507,2.002598683,1.769705145,7.124513795,1.925908395,-36540.11621,-36373.26179,-36540.11621,2.412E-101,7.95578E-69
MAN2A1,1.669191287,0.685806084,4.489130314,0.972136671,-2.154331011,-19877.87471,-19711.53826,-19877.87471,3.688E-150,1.31926E-68
CADM1,-0.138964912,1.686945586,3.709777617,0.798510081,-2.140570411,-31305.42634,-31142.2185,-31305.42634,2.4941E-299,2.93048E-67
MARCKS,0.223981756,4.465353498,8.167726679,3.64747581,-1.118503869,-50148.96351,-49986.75823,-50148.96351,1.52254E-10,7.86669E-67
SEC24D,2.658805702,0.130201221,2.318407685,0.433544874,-2.295843926,-20093.94947,-19932.25888,-20093.94947,1.303E-220,1.30043E-66
UCP2,2.836711102,0.436554414,1.354186012,5.310379317,1.863698473,-38291.03301,-38130.08784,-38291.03301,2.4941E-299,2.70393E-66
TNFRSF21,2.843367899,0.145452042,2.971350724,0.672504467,-2.047628806,-22926.181,-22765.72494,-22926.181,1.488E-241,4.35821E-66
NDFIP1,-1.337970445,6.081543863,3.133487143,1.374611509,-1.176076425,-32715.02155,-32554.68072,-32715.02155,1.0965E-199,4.84483E-66
LDHB,-3.909413049,29.91596043,0.761716898,1.97081537,1.332149367,-35124.17111,-34967.40824,-35124.17111,2.4941E-299,1.68152E-64
ESYT1,0.970857694,0.581546984,2.39590274,0.568572184,-1.964194528,-24574.93046,-24420.86337,-24574.93046,2.7521E-111,2.42818E-63
IRS2,2.294676871,0.603899583,0.567227846,3.921462295,2.67539153,-15536.7862,-15387.93745,-15536.7862,1.4744E-242,4.29585E-61
SOX11,-0.985741376,7.662661348,5.715906969,3.384860219,-0.805305337,-46606.3758,-46457.60834,-46606.3758,2.4941E-299,4.6183E-61
NPTX2,4.993731457,0.1,9.4554525,0.666176747,-3.695219008,-8966.179678,-8817.613536,-8966.179678,2.4941E-299,5.59402E-61
TM4SF4,-0.872715515,2.235053811,0.283607711,2.391933689,2.833999259,-19066.47837,-18919.97597,-19066.47837,2.4941E-299,4.30913E-60
SCGN,5.078067128,0.436102845,24.22921194,13.40145837,-0.798568588,-54406.63509,-54260.73038,-54406.63509,2.4941E-299,7.73842E-60
PLD3,1.266363928,3.270001602,11.90485594,5.788095837,-0.999061015,-48260.06222,-48114.65972,-48260.06222,2.4941E-299,1.25984E-59
HYOU1,1.183300886,1.576655469,6.310528365,1.852225738,-1.688562996,-37443.70842,-37298.31067,-37443.70842,2.2283E-105,1.25984E-59
NEUROD1,7.31364065,0.1,12.43480014,19.19878421,0.601544348,-56110.68022,-55965.70385,-56110.68022,2.4941E-299,1.89937E-59
TCF7L2,-1.959720226,4.293769829,2.026337615,0.499823751,-2.005034449,-20324.55671,-20181.12691,-20324.55671,2.4941E-299,8.75417E-59
ENO1,0.820118591,5.763052813,5.547622374,13.20990923,1.181540448,-55087.65897,-54947.0616,-55087.65897,9.4748E-225,1.44649E-57
SEC11C,1.031167444,0.844306349,3.253313123,1.125384393,-1.499332236,-26806.21265,-26666.60459,-26806.21265,4.29915E-86,3.83305E-57
PDIA4,-0.392386207,2.160906206,2.79311557,0.855126933,-1.642051121,-29083.26775,-28944.52932,-29083.26775,2.3251E-05,9.01932E-57
SHISA2,0.139914623,0.17316665,0.528131592,0.122928858,-2.148981285,-7373.687951,-7235.489999,-7373.687951,2.43508E-35,1.53068E-56
UTRN,-1.972760704,3.597688453,1.70991059,0.236215462,-2.771080455,-12889.84763,-12752.16759,-12889.84763,1.3856E-271,2.54032E-56
SEZ6L,2.415546665,0.251294755,3.262667683,1.222017969,-1.396058962,-31588.01645,-31450.64875,-31588.01645,2.4941E-299,3.4378E-56
CTSZ,1.97019949,0.404132824,4.547817801,0.27006656,-3.917409432,-9477.796731,-9340.611055,-9477.796731,2.2239E-110,4.08798E-56
AKAP2,2.76748762,0.177604767,0.215808553,2.190606852,3.225661859,-10342.56696,-10207.24927,-10342.56696,2.9034E-157,2.59193E-55
SYT13,5.463393363,0.1,2.010801718,6.650663216,1.626507822,-24956.37758,-24824.06329,-24956.37758,2.4941E-299,5.0711E-54
SGPL1,2.028345992,1.076013232,2.1382781,5.60026375,1.364116459,-39964.74505,-39832.66658,-39964.74505,2.4941E-299,6.36164E-54
ZNF608,-0.878173893,0.879260124,1.100384377,0.230320979,-2.194203387,-19915.60951,-19786.40262,-19915.60951,4.7672E-138,1.09156E-52
PLPPR5,3.537885869,0.1,2.686565525,0.189028693,-3.732637888,-5905.890096,-5776.775064,-5905.890096,2.4941E-299,1.18713E-52
PRAG1,0.289594446,0.774757601,0.143729457,1.348516614,3.117468068,-12625.61404,-12497.54023,-12625.61404,1.47626E-19,3.312E-52
ITGA1,2.628574357,0.1,1.532012285,0.1,-3.907789802,-4558.322811,-4431.438862,-4558.322811,5.126E-144,1.07085E-51
FGD4,0.531879196,0.480269867,1.358645182,0.423207384,-1.641762244,-18923.79096,-18797.0485,-18923.79096,2.03012E-31,1.22356E-51
TMEM65,2.537728402,0.152231846,2.25924009,0.337374332,-2.628482206,-15093.26841,-14966.77173,-15093.26841,2.76041E-89,1.55055E-51
FREM2,-2.844686753,0.946591277,0.302973687,0.1,-1.546758155,-12108.77446,-11983.21272,-12108.77446,3.6224E-234,3.89316E-51
CCNY,2.251688644,1.122695487,3.299945362,7.441542439,1.121923444,-40678.10477,-40553.12059,-40678.10477,5.5538E-297,6.85704E-51
FN1,-6.088459345,79.42526098,0.353663212,1.399830365,1.813396152,-42134.82524,-42010.1487,-42134.82524,2.4941E-299,9.24062E-51
TSC22D1,-0.474390671,2.850026053,3.136639799,1.603156061,-0.945432011,-37286.51382,-37163.91894,-37286.51382,1.21404E-11,7.2366E-50
CANX,1.032369446,3.592442127,12.45827542,5.073162983,-1.242514436,-51469.09228,-51346.88639,-51469.09228,4.1818E-142,1.0572E-49
TBX3,2.388521921,0.226717846,3.198531349,0.150333545,-4.314418688,-6434.27554,-6312.496601,-6434.27554,2.9224E-48,1.60379E-49
TUBA1A,0.684971633,12.84304262,16.09227907,22.6580991,0.517441766,-75764.54593,-75643.56605,-75764.54593,2.4941E-299,3.5191E-49
PPIB,1.332040144,0.780767221,3.885261953,1.344386398,-1.502300254,-27633.19109,-27512.83244,-27633.19109,9.12119E-53,6.47336E-49
DOCK1,0.176919805,0.302265773,0.848002577,0.1,-3.025547836,-7157.745566,-7037.417287,-7157.745566,0.000244327,6.6274E-49
MGLL,4.179196636,0.1,0.1,3.366381647,4.705975557,-3359.777683,-3239.972771,-3359.777683,1.3901E-289,1.1064E-48
CACNA2D1,4.354505469,0.1,3.468476088,1.193759048,-1.497620138,-28832.15859,-28712.85326,-28832.15859,2.4941E-299,1.80404E-48
IGDCC3,-1.704110319,4.715872374,2.432798949,0.808869255,-1.502037226,-39655.23951,-39535.98543,-39655.23951,2.4941E-299,1.88586E-48
MEG3,-2.238130268,1.764742327,0.810484312,0.1,-2.923160223,-5684.36948,-5565.757813,-5684.36948,1.41395E-91,3.54314E-48
RAD21,0.861662651,1.708847494,5.313047095,1.878103365,-1.435256642,-33633.70038,-33515.16506,-33633.70038,2.18638E-63,3.79745E-48
NAV2,-0.680743983,2.023005924,2.227860868,0.449864004,-2.256911073,-14740.76159,-14622.65254,-14740.76159,1.96773E-84,5.75851E-48
SSR1,1.596716436,1.075559407,6.373784317,2.717946468,-1.19602299,-34625.82813,-34507.81304,-34625.82813,1.5197E-171,6.28106E-48
TGFB2,0.964455946,0.128502639,0.933401191,0.1,-3.061708088,-6295.50527,-6178.368511,-6295.50527,3.42319E-26,1.49125E-47
HM13,1.052285777,1.5634975,6.523938134,3.762680856,-0.768718672,-45771.28761,-45654.7381,-45771.28761,3.6451E-225,2.65287E-47
ABCC8,3.760638799,0.271325548,7.369257601,3.174185176,-1.19130827,-27703.25832,-27587.35186,-27703.25832,2.4941E-299,4.98793E-47
NFKB1,1.108353966,0.389957678,1.561458193,0.499923401,-1.555465136,-22543.01031,-22429.22086,-22543.01031,1.2129E-174,4.04314E-46
LMAN1,1.757311408,0.899116992,6.121502075,1.997856914,-1.565976527,-31112.51511,-30998.78382,-31112.51511,1.11099E-86,4.25698E-46
RND3,1.037068713,0.386794864,0.179620544,1.188370957,2.657520599,-15257.9446,-15144.93704,-15257.9446,2.00853E-90,8.67007E-46
C12orf75,-0.671447079,2.882641824,2.694510268,0.90650436,-1.441095888,-33452.89567,-33340.84841,-33452.89567,1.2881E-104,2.23242E-45
ID3,-6.116728336,24.81571595,0.1,0.345912744,1.971986059,-20220.24173,-20108.73422,-20220.24173,2.4941E-299,3.78881E-45
IRF2BP2,2.023673312,1.814902026,12.28268868,6.056114606,-0.958910335,-56943.64448,-56833.6253,-56943.64448,2.4941E-299,1.64625E-44
PDZD2,2.01165634,0.1,1.329561763,0.1,-3.510362456,-2759.818829,-2650.296876,-2759.818829,5.37283E-27,2.67864E-44
MYO10,0.725275945,0.477256622,1.611646785,0.503880747,-1.554505506,-30047.66063,-29938.41281,-30047.66063,1.4779E-253,3.49404E-44
RGMA,1.639614205,0.405131535,0.350761657,1.330872869,1.951534523,-19484.59349,-19375.96704,-19484.59349,2.4941E-299,6.42959E-44
CD24,-0.838567554,27.67619489,9.723400354,17.48242813,0.785398967,-63744.76362,-63636.31178,-63744.76362,2.4941E-299,7.59961E-44
PLK2,-1.287689969,1.378770725,0.982506822,0.1,-3.256635821,-6962.1383,-6854.277151,-6962.1383,1.606E-119,1.35662E-43
PDIA3,0.259625655,2.646378665,4.580424607,2.188326196,-1.053196613,-35316.66852,-35209.25821,-35316.66852,3.7797E-21,2.10839E-43
LMO2,1.685667636,0.1,0.648068949,0.1,-2.761082553,-3164.429481,-3057.247415,-3164.429481,5.8553E-135,2.62827E-43
RBPMS2,-0.200552335,0.803633871,1.932907683,0.112927911,-4.062685035,-4988.071575,-4881.154878,-4988.071575,2.86677E-94,3.3992E-43
VSTM2A,2.233462399,0.1,0.1,1.612323779,3.596475885,-2812.976996,-2706.245898,-2812.976996,5.09012E-92,4.06231E-43
ADH5,0.190340837,1.249883743,0.521754162,2.16901454,1.946774012,-21653.02041,-21546.61112,-21653.02041,1.32721E-33,5.5563E-43
NKAIN3,3.079161498,0.1,2.273351919,0.1,-4.311543023,-2914.921752,-2808.701272,-2914.921752,4.8935E-105,6.66175E-43
PLCE1,1.908034005,0.1,0.955310372,0.1,-3.227126688,-6371.111203,-6265.171277,-6371.111203,2.04167E-57,8.74731E-43
RHEB,1.054857774,1.164260897,1.227667447,3.339534743,1.410776849,-32954.44621,-32848.62274,-32954.44621,4.5371E-151,9.76279E-43
SERINC5,-3.249911522,3.658655951,0.656691187,0.215620385,-1.623608601,-18082.99489,-17978.17459,-18082.99489,2.4941E-299,2.62273E-42
CDH8,2.38132156,0.1,1.041868349,0.11317348,-3.063849199,-8174.737923,-8070.034323,-8174.737923,2.7023E-115,2.92803E-42
ADAM19,-0.012622392,0.648794211,0.1,0.969659603,3.245790145,-8957.907824,-8853.722013,-8957.907824,2.76616E-33,4.8635E-42
HEPACAM2,5.775494954,0.1,9.79564639,3.931159234,-1.349463492,-33126.85147,-33023.30638,-33126.85147,2.4941E-299,9.12442E-42
SLITRK1,2.759030793,0.1,0.1,1.42548018,3.605361305,-3482.84159,-3379.522803,-3482.84159,9.7435E-155,1.13554E-41
