Gene Symbol,log2 fold-change Start vs. end ,pseudotime 0, pseudotime 1 on SC-beta branch,pseudotime 1 on SC-EC branch,log2 fold-change SC-beta vs. SC-EC,log likelihood of GLM model with pseudotime and branching,"log likelihood of GLM model with pseudotime, but no branching",log likelihood of GLM model without pseudotime or branching,(Pseudotime vs. Reduced) FDR corrected q-value from likelihood ratio test,(Branched vs. Pseudotime) FDR corrected q-value from likelihood ratio test
CALB2,8.155561689,0.1,60.12734322,7.328915719,-2.904995022,-65900.16777,-63459.47687,-65900.16777,2.4941E-299,1.0024E-297
ACVR1C,6.629491906,0.1,20.59129006,2.305370634,-2.95684093,-34765.70207,-33902.49194,-34765.70207,2.4941E-299,1.0024E-297
ISL1,6.43307424,0.1,25.98156542,0.660950072,-5.163879914,-20616.23161,-19514.22298,-20616.23161,2.4941E-299,1.0024E-297
DLK1,-3.615345936,929.0440921,130.9034459,8.885429963,-3.708408579,-103748.1986,-99176.60275,-103748.1986,2.4941E-299,1.0024E-297
CD99,1.570882669,7.190757303,42.08707742,8.291540556,-2.231767728,-63429.9907,-62338.09103,-63429.9907,2.4941E-299,1.0024E-297
CRYBA2,5.75248373,0.1,0.54516071,8.569416687,3.857618663,-35296.85381,-34312.0154,-35296.85381,2.4941E-299,1.0024E-297
CLU,-1.557982134,18.36809476,12.39845311,0.918796849,-3.623423914,-30217.33265,-29441.29616,-30217.33265,2.4941E-299,1.0024E-297
FEV,6.912893091,0.1,0.91430936,20.72084375,4.299329726,-53168.72507,-51049.63909,-53168.72507,2.4941E-299,1.0024E-297
ADRA2A,2.572340764,0.748190495,0.151901172,6.431083704,5.252508654,-18857.05262,-18078.36589,-18857.05262,2.4941E-299,1.0024E-297
ASPH,4.348286336,0.186655623,11.10590224,0.264878301,-5.32946893,-12397.55182,-11656.29461,-12397.55182,2.4941E-299,1.0024E-297
INS,8.008087095,0.276474562,173.8183532,30.75020329,-2.382047214,-62500.0002,-60628.90645,-62500.0002,2.4941E-299,1.0024E-297
CHGA,8.99787809,0.359222416,145.3695381,506.9876981,1.720493322,-102144.186,-101405.7439,-102144.186,2.4941E-299,1.0024E-297
ERO1B,5.741875582,0.1,13.2470119,0.343247976,-5.044261456,-29627.50147,-28115.1562,-29627.50147,2.4941E-299,1.0024E-297
TMSB4X,0.102820257,13.64930598,3.867033781,22.70131308,2.455067268,-72677.93232,-71570.34554,-72677.93232,1.8396E-169,1.0024E-297
TPH1,6.243356896,0.1,0.181415896,12.62863556,5.862188296,-27054.41426,-25664.18073,-27054.41426,2.4941E-299,1.0024E-297
SCG5,6.978604218,0.1,25.27308668,5.225991519,-2.230368847,-41178.88456,-40486.38466,-41178.88456,2.4941E-299,1.1713E-295
MDK,-2.447779335,30.33848039,9.344734228,2.847309404,-1.611768125,-70964.5523,-70322.02504,-70964.5523,2.4941E-299,5.1192E-274
CPE,4.512294983,0.350934557,22.63854734,6.858846138,-1.6870653,-59532.1243,-58903.71022,-59532.1243,2.4941E-299,6.3684E-268
DDC,6.66195198,0.1,3.274920855,14.54728168,2.079966291,-54137.45156,-53542.25044,-54137.45156,2.4941E-299,1.5178E-253
COL5A2,5.586188733,0.1,0.180735309,8.575263566,5.378274262,-11957.65601,-11372.81908,-11957.65601,2.4941E-299,4.4919E-249
THSD4,4.341543796,0.1,0.220702581,3.455193303,3.817267936,-28583.05078,-28007.88015,-28583.05078,2.4941E-299,6.6379E-245
DSP,0.704012377,5.125460572,17.9270847,5.852376168,-1.555120529,-62446.54342,-61876.04818,-62446.54342,6.4002E-210,6.742E-243
CBLN1,5.119474655,0.1,0.1,6.08987292,5.844611396,-12704.54259,-12144.26283,-12704.54259,2.4941E-299,1.7305E-238
SURF4,2.555407116,1.447927425,19.08738311,3.334399284,-2.437675354,-39760.77101,-39236.44255,-39760.77101,2.4941E-299,6.3738E-223
SLC30A8,5.969616857,0.1,13.57853083,1.301866306,-3.25214373,-15332.19371,-14840.06979,-15332.19371,2.4941E-299,5.5647E-209
TMOD1,4.756328625,0.1,9.128689184,0.154339539,-5.69677314,-12738.87965,-12253.05977,-12738.87965,1.0104E-251,2.8882E-206
PDX1,-1.527633446,10.73261977,5.649536607,1.390186045,-1.95157932,-41219.48357,-40746.20398,-41219.48357,2.4941E-299,7.5699E-201
IGFBP5,5.895084089,0.171150087,26.73808853,11.94332513,-1.158834218,-57725.29429,-57258.25321,-57725.29429,2.4941E-299,3.6889E-198
BTG1,-0.830391627,10.72001796,11.53103197,3.682120133,-1.628706827,-55440.07417,-54996.23335,-55440.07417,2.4941E-299,4.0301E-188
DNAJC12,6.488727346,0.1,3.010901821,14.20315849,2.14884344,-30539.20499,-30104.51795,-30539.20499,2.4941E-299,3.6058E-184
