Gene Symbol,"log2 fold-change Start vs. end of PDT trajectory","expression (tpm) at pseudotime 0","expression (tpm) at pseudotime 1","log likelihood of GLM model with pseudotime","log likelihood of GLM model without pseudotime","FDR corrected q-value from likelihood ratio test"
SNHG18,1.660278646,13.8265122,46.15446029,-5381.694301,-5418.809408,8.52575E-15
TMEM261,1.424870932,36.45267757,103.9842398,-8202.452917,-8239.554222,8.6327E-15
KCNJ3,1.532840025,10,30.31877701,-2832.912816,-2869.994142,8.79445E-15
AOC1,0,10,10,-165.7470962,-202.8203583,8.8504E-15
SLC3A2,-0.161348997,217.0035974,191.9664066,-20299.55234,-20336.62491,8.8504E-15
LRRC8A,-1.389971023,69.18923466,25.64765586,-5007.215963,-5044.261176,9.08213E-15
MCFD2,-0.840491575,194.2959039,105.9271248,-14373.62456,-14410.63369,9.40062E-15
RDH11,-0.608973356,239.5814465,155.3320024,-18093.04245,-18130.03598,9.53544E-15
SCARB1,1.11781899,20.80497451,45.35849522,-4979.268616,-5016.202327,1.01037E-14
GEM,0.52156062,10,14.45809649,-1278.239845,-1315.160067,1.02274E-14
MAFA,-0.686182974,17.09385851,10,-989.427797,-1026.292834,1.07875E-14
THRB,-0.918085431,17.9699811,10,-3411.36701,-3448.160236,1.15664E-14
FAU,0.437276018,469.3863232,644.3309975,-27188.32179,-27225.10592,1.16475E-14
RBM15B,-0.610134345,270.2235312,175.2715349,-17408.7071,-17445.49094,1.16475E-14
CAPN13,-1.258651188,26.00177131,10,-1423.904308,-1460.626075,1.23691E-14
PLAGL1,0.859210668,45.32211353,85.57655204,-10077.11056,-10113.8158,1.25582E-14
SCRN1,0.747524174,200.4299965,349.3946091,-20800.53704,-20837.16815,1.34959E-14
HNRNPA1,0.520238602,432.1956248,636.481372,-26617.19058,-26653.76506,1.42554E-14
CLOCK,0.683619853,127.1737198,210.3675382,-17250.30864,-17286.81724,1.51955E-14
SHISA2,-1.802626635,41.91418858,11.70585613,-2892.551825,-2928.991864,1.62407E-14
HACD3,-0.596395271,377.6623015,245.2448456,-21373.35165,-21409.73835,1.70796E-14
JPH4,1.089080825,16.18155091,34.98566315,-4325.05044,-4361.437448,1.70796E-14
TIMP2,-0.550156314,163.6655075,111.6475031,-11130.84972,-11167.20525,1.75931E-14
COX20,0.990775181,97.86030805,203.8726259,-14125.04487,-14161.37591,1.80033E-14
MAK,-0.065461503,11.76837772,10,-262.2451529,-298.5652589,1.8178E-14
ATP8A1,-1.050947178,126.5979376,58.6340052,-11252.66247,-11288.97412,1.83097E-14
IHH,-0.801532924,19.43653571,10,-855.3789664,-891.6477822,1.90786E-14
RASSF6,-1.399344236,78.67165834,28.34705287,-7589.76117,-7626.02222,1.92038E-14
TMEM255A,0.227275307,10,12.01799662,-767.0003542,-803.2188902,2.0004E-14
SPON1,-1.938390357,61.44913102,14.73204145,-3201.227228,-3237.430838,2.02781E-14
SALL4,-1.851258834,44.82084401,11.94364674,-3451.064356,-3487.218905,2.126E-14
BNIP3L,-0.760057999,241.3998098,139.129318,-16223.4983,-16259.63737,2.1563E-14
CSRNP3,1.018263087,48.40142492,103.4212428,-10892.87937,-10929.0155,2.16016E-14
TMEM51,-1.600603107,31.66004274,10,-2273.255078,-2309.304006,2.3516E-14
HOXC4,-0.985684222,23.09717026,10,-725.1935921,-761.23455,2.36753E-14
AACS,-0.58068783,357.0325451,234.3682106,-20038.2032,-20074.21565,2.43235E-14
OXGR1,0,10,10,-500.4768481,-536.4546582,2.51412E-14
TMEM132A,-0.828274144,224.5425124,122.5894663,-16125.2756,-16161.21299,2.61349E-14
SLC35E2B,-0.786339182,164.9494205,94.44727547,-12866.93552,-12902.85897,2.64674E-14
PXK,-1.382923214,74.91323825,27.75692623,-6102.070783,-6137.971778,2.70304E-14
CIRBP,0.379973568,691.0696417,910.3656986,-31067.33828,-31103.17393,2.87982E-14
PFKP,-1.096366154,138.0818534,61.37783839,-9505.463425,-9541.296319,2.88448E-14
TOLLIP,0.938396982,70.53422608,138.184454,-11429.00166,-11464.78818,3.01617E-14
SEC23B,-0.960439143,202.8007769,99.83894214,-14109.99912,-14145.72722,3.19154E-14
ATP5G2,0.336370977,752.4112956,957.5652611,-31705.04118,-31740.76372,3.2056E-14
EPM2AIP1,0.642286196,95.26916868,155.2835847,-15614.94636,-15650.62983,3.32788E-14
FZD1,0.249390431,129.414079,156.485418,-16969.5814,-17005.16908,3.65363E-14
SEPT2,-0.527830846,508.8379053,346.6612707,-24944.11187,-24979.69296,3.67343E-14
VANGL2,-1.595257105,31.99893692,10,-2237.029971,-2272.588269,3.75283E-14
GAA,-1.834553683,61.60243069,16.03756269,-5458.949714,-5494.468521,3.89762E-14
CEP126,1.013287145,35.37822138,72.56580928,-8276.525551,-8312.014105,4.01129E-14
TNFAIP2,0,10,10,-876.1367938,-911.6216975,4.02137E-14
ALDOC,-1.685818228,66.34844916,19.4275692,-5261.82329,-5297.249541,4.25621E-14
EPHX1,-0.162392583,315.2849663,280.3741812,-23828.57001,-23863.97977,4.3213E-14
NOTCH3,-1.026741606,22.11560141,10,-1212.852936,-1248.249609,4.37268E-14
C2CD4B,-1.376294488,30.96176743,10,-878.1996785,-913.5767779,4.45307E-14
ZNF385A,-1.253170877,25.89622746,10,-1404.253974,-1439.562667,4.75869E-14
KCNQ1OT1,0.377369284,39.50654118,48.76657875,-7758.773132,-7794.021325,5.0458E-14
CUTA,0.570553162,198.1406473,299.589028,-20752.8612,-20788.09743,5.10013E-14
HK2,-0.139935615,13.36543037,10,-267.2138631,-302.3252974,5.76185E-14
FKBP2,1.077029189,68.02317318,149.8096481,-11384.33461,-11419.43678,5.80844E-14
DRC1,-0.984240864,23.08916325,10,-777.6794036,-812.7514606,5.97707E-14
LGALSL,1.367958789,29.14456323,79.64115471,-8017.082074,-8052.13464,6.0865E-14
RIPPLY3,1.250506402,22.2721121,57.55241747,-7349.376156,-7384.402375,6.23999E-14
SEMA3C,1.00249269,38.38461798,81.76712689,-9662.410603,-9697.417209,6.355E-14
KCTD12,-0.165825861,119.2451674,105.0167181,-14703.37397,-14738.35651,6.50064E-14
BTG1,-0.614198155,458.5462459,290.3928295,-24269.78659,-24304.74016,6.68187E-14
CSMD2,0,10,10,-507.1088006,-542.0550938,6.72274E-14
PPT2,-1.252761869,43.88353424,17.91333749,-4804.105325,-4839.047273,6.74438E-14
PHC2,-0.763678691,250.2817195,142.994884,-15832.94013,-15867.86664,6.84054E-14
SLC6A17,1.340777838,10,25.5199811,-2793.677973,-2828.58679,6.95347E-14
KBTBD11,-1.868483828,61.76393987,15.57953226,-5155.02248,-5189.923817,6.99747E-14
SERINC5,-1.506094623,81.44748519,27.06182894,-5725.399166,-5760.287877,7.07758E-14
NOSTRIN,-0.849169981,19.74740444,10,-860.2694118,-895.1529061,7.1065E-14
RACK1,0.188772437,657.7079686,745.5871469,-29192.30415,-29227.17013,7.22254E-14
ST6GALNAC5,-0.699355914,238.5182787,143.8262464,-17139.44264,-17174.21297,7.92858E-14
PAK4,-0.552393677,139.7235825,96.69703388,-11666.22422,-11700.94893,8.28452E-14
ERP29,0.532397672,198.3043697,289.5299369,-20212.6254,-20247.34099,8.35041E-14
CASZ1,-1.495963118,70.98555926,23.8442483,-6637.687625,-6672.34271,8.8544E-14
SPINK2,0.575550754,10,16.12985188,-913.3830931,-948.0334624,8.88625E-14
ANKS4B,1.651108429,16.09741037,54.3782547,-5996.574158,-6031.220067,8.91599E-14
UBC,0.43867435,699.0614083,966.6508462,-31758.94793,-31793.59066,8.93455E-14
SAMD5,-1.714763655,90.56213141,25.10160696,-6705.372623,-6739.920148,9.80345E-14
TRPS1,-1.679711109,82.40729591,23.78355577,-6150.77219,-6185.285363,1.01305E-13
ADGRL2,-0.287797203,54.35744744,44.94951507,-4034.692494,-4069.179091,1.03885E-13
USP11,0.517365869,312.3206221,457.7399478,-25058.88019,-25093.33904,1.06654E-13
STT3B,-0.588091763,278.7617396,181.7834776,-20128.17666,-20162.62981,1.07142E-13
TSPAN18,-0.447437031,17.53597484,10,-349.3466443,-383.6352509,1.25879E-13
EIF3E,0.386112537,201.1807696,266.6758786,-16360.45144,-16394.73811,1.25988E-13
ACTN1,0.462435642,266.1440499,369.4667513,-22649.04717,-22683.31661,1.28011E-13
KLF11,-1.546235277,30.17566657,10.51721859,-2532.704786,-2566.961143,1.29538E-13
SLC2A13,1.188207986,25.96367482,64.07767873,-8293.805881,-8327.998416,1.37805E-13
TUBA1C,-1.74585535,76.0509339,20.81344151,-6246.289501,-6280.405785,1.48408E-13
TNFAIP8L3,0,10,10,-616.5351484,-650.6503468,1.48412E-13
ADAM12,-0.94418244,20.29161802,10,-1844.742274,-1878.818753,1.54025E-13
SSRP1,-0.545765668,195.7903353,134.6808451,-14799.79892,-14833.86982,1.54713E-13
IFI27L2,1.479124102,26.30371487,77.72621319,-7234.618329,-7268.684252,1.55313E-13
RBM23,-0.908578612,132.3500965,69.03332092,-11200.75701,-11234.76318,1.64564E-13
CDCP1,1.029963776,24.61959742,51.24053704,-7176.396577,-7210.374644,1.69011E-13
DAB1,1.136767786,42.15832696,97.10192391,-6225.278062,-6259.227414,1.73683E-13
OSTC,0.102667947,401.6397786,421.8672617,-23234.12494,-23268.05806,1.76302E-13
CD200,-0.291121932,297.9202812,246.8442324,-21090.28939,-21124.21697,1.77082E-13
ARF5,0.397137144,222.0752381,293.7269713,-21410.32499,-21444.14263,1.97147E-13
FAM3C,1.003728266,67.12385019,139.8732882,-12025.25419,-12058.89597,2.34216E-13
WASF3,0.995068444,84.20326557,179.0734688,-14413.94278,-14447.58034,2.34948E-13
HMGA1,-1.103536174,99.50664505,44.89830403,-7749.684348,-7783.285087,2.43382E-13
KC6,-0.826699823,24.62358197,14.01366838,-4122.732064,-4156.310153,2.4862E-13
VOPP1,-0.588692929,189.1177294,125.0816674,-15956.50774,-15990.08337,2.48966E-13
NR0B1,-0.531195371,15.85539832,10,-848.0237735,-881.4971317,2.75086E-13
FAM126A,-1.882082338,56.13363479,14.06459579,-4792.465327,-4825.936131,2.75267E-13
OAZ1,0.422733432,759.6915087,1039.93773,-32282.65593,-32316.12654,2.75267E-13
KLHL7,-1.298580202,61.35663819,24.2577497,-6441.630507,-6475.075841,2.8192E-13
DUSP6,1.621205777,15.79636748,51.99243756,-4332.635152,-4366.072919,2.8374E-13
GAD2,0.46014386,165.8321707,231.8232865,-18898.78539,-18932.20563,2.8839E-13
PROM1,-1.72247365,34.88893811,10,-2196.263439,-2229.675777,2.90051E-13
RPS15,0.163481419,893.5269356,1003.848907,-32095.28946,-32128.70278,2.90051E-13
TMEM63C,1.228448819,21.48943987,51.83165875,-6788.314873,-6821.660204,3.09534E-13
MYH10,-0.564081827,460.8908866,304.7907672,-23484.50176,-23517.80525,3.22238E-13
TCN2,1.841218287,10,37.03776508,-4968.653486,-5001.928581,3.31042E-13
SRM,-0.918032068,137.3071631,71.01548771,-11110.19953,-11143.44398,3.40845E-13
NBEA,0.148752552,225.3826221,254.3317821,-21494.36242,-21527.59749,3.43661E-13
LAMTOR1,0.590720757,149.5231038,227.3337025,-17424.96934,-17458.19978,3.44886E-13
PURA,0.8571123,93.52264908,175.1558152,-14407.28712,-14440.51645,3.44908E-13
CEP41,-1.478944351,61.08382761,21.05024212,-5840.431371,-5873.585206,3.71172E-13
RNF8,-1.14334018,158.8094247,67.22308958,-10618.92091,-10652.05825,3.76874E-13
MTUS2,-1.365203072,34.91388227,13.28521415,-4748.291918,-4781.391143,3.90901E-13
MTURN,-0.880577146,130.1799157,69.50316666,-10571.19551,-10604.21216,4.23609E-13
PLSCR4,1.445318428,10,26.864556,-4161.821981,-4194.806013,4.37003E-13
TCEA3,-1.431060445,30.71913925,10,-1216.334732,-1249.314723,4.38304E-13
TSHZ2,-0.953262237,140.1115135,69.77958002,-12015.04567,-12048.01054,4.44437E-13
RBPMS,-1.710334655,34.51812058,10,-2448.374009,-2481.312514,4.55674E-13
MOB1B,0.268522592,155.8524132,184.2007564,-17297.4412,-17330.37708,4.56394E-13
COX4I2,-0.262990252,13.95673113,10,-442.9078025,-475.7960996,4.77823E-13
EFNA5,1.688600401,16.31225891,57.44152308,-5897.5659,-5930.444691,4.81836E-13
CABLES1,1.435930533,10,28.61768619,-1903.295882,-1936.152272,4.92096E-13
CDH4,-1.580511103,43.30396168,14.06538224,-4527.820819,-4560.652195,5.0387E-13
GPI,-1.056587308,170.1676121,77.64855811,-12188.54291,-12221.32283,5.28488E-13
TMEM179,1.157926634,26.57053338,60.49974914,-6905.312173,-6938.093253,5.28488E-13
TRIM13,-1.651795334,93.4962847,26.6926806,-7797.588351,-7830.368455,5.28488E-13
RPL37,0.007525532,732.3222968,733.6508126,-29143.23238,-29175.91308,5.82178E-13
PAICS,-0.875479532,157.5129118,83.41586587,-11656.04182,-11688.62847,6.38059E-13
CRYM,1.659817142,10,31.94290197,-3584.616184,-3617.180479,6.51618E-13
RAB29,-0.229287132,93.31502463,80.99701197,-12704.38946,-12736.85216,7.19491E-13
KCNMA1,-0.698798484,182.5536244,110.4358614,-15386.90103,-15419.29593,7.68428E-13
SPRYD3,1.675012496,17.5951868,59.56665796,-5117.176022,-5149.499651,8.23489E-13
BARX2,0,10,10,-156.5642938,-188.8811841,8.28153E-13
CRYBG3,-1.05206633,31.14716239,15.33585782,-4411.489147,-4443.678321,9.38239E-13
MACF1,-0.769518345,186.7076641,106.3773662,-15341.78522,-15373.91972,9.8917E-13
SCNN1B,0.431252876,10,14.03000791,-1537.067774,-1569.181077,1.00904E-12
IGSF9,-1.358444488,25.72113586,10,-2747.229947,-2779.227918,1.1293E-12
TNP1,-0.32223937,17.17983799,10,-234.0191781,-266.0114962,1.13449E-12
TLR5,-1.514365909,31.68621031,10,-1635.134123,-1667.113812,1.14756E-12
REC8,-0.817848394,150.38099,83.33145677,-13229.19415,-13261.16476,1.15674E-12
KCNK16,-0.725823862,196.8823968,116.2320043,-16008.71709,-16040.66518,1.18151E-12
RPL22,0.290516183,588.0349438,727.861333,-28355.0423,-28386.95469,1.22259E-12
MTSS1L,-0.705236355,120.6013485,73.79764874,-9434.981611,-9466.885779,1.23132E-12
VASH1,-0.954102096,42.8381169,22.31297326,-5772.777426,-5804.638608,1.28331E-12
MXD1,1.543145652,27.60342086,86.70497947,-6999.113765,-7030.969973,1.28835E-12
CD81,-0.532663663,788.9700824,527.4927299,-29470.95868,-29502.78574,1.32457E-12
SPINT2,0.357286371,872.629462,1133.083727,-34063.81713,-34095.57278,1.41968E-12
EIF3H,0.456089556,180.2278818,246.6128077,-16852.32802,-16884.04694,1.47053E-12
H2AFY2,-0.810393032,177.8102731,98.96634934,-13898.63976,-13930.32209,1.523E-12
APOC3,-1.752803512,78.56473882,21.2813153,-5809.865048,-5841.525887,1.55406E-12
MAGED2,0.555230918,197.7912095,299.482602,-21142.53649,-21174.17515,1.58683E-12
COL5A2,-1.060202025,33.43742859,15.95382074,-3510.915969,-3542.410354,1.82728E-12
PDE3A,2.250804941,10,51.33535283,-3222.242933,-3253.708799,1.87749E-12
CELF1,-0.456489929,688.8791406,482.1078136,-29533.25087,-29564.69471,1.91678E-12
USP13,0.920772563,30.39272533,57.34816654,-7119.257249,-7150.665284,1.98364E-12
DRD2,1.385460391,10,28.31195708,-1540.060422,-1571.450136,2.0178E-12
DOCK10,1.219332974,10,24.05882802,-2518.323318,-2549.711806,2.01828E-12
RAB27B,0.965868802,10,19.83441221,-1783.506802,-1814.833685,2.14242E-12
ELAVL3,0.618737185,141.8416601,222.0152783,-16957.58851,-16988.9072,2.15769E-12
SPCS2,-0.649894869,403.019106,248.0441684,-22754.48263,-22785.7875,2.18514E-12
P4HTM,0.382148874,269.2190118,359.3247187,-23844.04165,-23875.33693,2.20375E-12
NRN1,-1.139469763,33.96711471,10,-266.4319666,-297.6906078,2.28249E-12
KHDRBS3,1.093127018,40.83119772,90.28461356,-8957.285608,-8988.535783,2.29938E-12
EZH2,-1.450281184,28.52509286,10,-2130.188899,-2161.426696,2.32534E-12
MMP16,1.645134891,10,31.76566966,-3506.414178,-3537.632611,2.36782E-12
ARL6IP5,-0.50230176,338.4531211,235.8039428,-21713.06526,-21744.24873,2.44839E-12
CALD1,1.193354125,22.27384086,52.59293955,-6611.146832,-6642.321041,2.46845E-12
BRK1,0.422851353,493.1252421,670.3808236,-28043.46216,-28074.63126,2.47853E-12
PTK2,-1.297807159,77.45434018,30.30836286,-6736.993929,-6768.153948,2.49839E-12
PCLO,0.633201636,63.48491849,100.7404661,-12055.00208,-12086.15297,2.51856E-12
RNF5,-0.528168479,149.3020634,104.525997,-11732.5915,-11763.73157,2.54309E-12
PTP4A2,0.509851399,349.9319281,508.2899483,-24661.44278,-24692.57138,2.56953E-12
DENND1C,-0.007971351,10.28011752,10,-277.356529,-308.4837442,2.57057E-12
PFKFB4,-1.78083913,58.98994123,15.98010726,-4960.738801,-4991.836948,2.64267E-12
ULK1,-1.049445435,157.9582364,72.61692719,-11431.25976,-11462.32924,2.71573E-12
MAPK6,-0.788665587,193.9027061,109.4089582,-13672.77369,-13703.74007,3.00299E-12
TCERG1L,-1.212773175,26.17865054,10,-1178.814486,-1209.752374,3.08545E-12
ITM2C,0.571209202,124.7856946,185.8501667,-15250.97566,-15281.90149,3.11932E-12
SETBP1,-1.008315254,107.8102869,52.26164688,-9355.338584,-9386.252467,3.15325E-12
GREB1,-1.362042581,41.78721177,16.14977637,-4224.633922,-4255.532499,3.19809E-12
ABHD13,-0.866183722,113.0991261,61.12350716,-10661.29882,-10692.17699,3.25989E-12
ANO9,-1.356701833,27.24628112,10,-1900.495376,-1931.337564,3.37424E-12
CPXM1,0,10,10,-1294.15061,-1324.988524,3.38527E-12
MAN1A1,-0.50217431,301.7758978,205.1602577,-21529.48176,-21560.30635,3.42352E-12
WWC1,1.541921312,17.62234824,53.7424898,-5318.68414,-5349.509327,3.42352E-12
EPPK1,-1.52870639,30.33706617,10,-2168.142238,-2198.950859,3.47447E-12
EDIL3,-0.304106027,28.3355893,22.78236286,-6563.256163,-6594.058931,3.49127E-12
CSRP2,-1.627120864,32.52413469,10,-2336.441801,-2367.183693,3.70337E-12
SNX7,0.530830888,100.9174376,146.9471197,-14578.32948,-14609.05107,3.77455E-12
FLNB,-1.106334244,119.8044909,53.22073545,-9040.45961,-9071.16049,3.8487E-12
HSPA12A,-1.676455414,34.44557398,10,-2069.748278,-2100.437437,3.88971E-12
KDM4B,-1.284412823,96.85590963,37.74256183,-8231.7331,-8262.408463,3.9392E-12
ACO2,-0.783795302,92.38310139,53.22296774,-9991.839598,-10022.4682,4.12086E-12
BAIAP2L2,-0.645054802,17.17151278,10,-860.9251415,-891.5419898,4.16493E-12
FURIN,0.689123335,67.14837553,112.6409398,-12775.61699,-12806.21312,4.24674E-12
FNBP1L,-0.601567576,311.7993813,201.2482262,-20343.51907,-20374.09148,4.34302E-12
TNIK,1.355179124,10,25.82019097,-2643.329506,-2673.89378,4.37386E-12
TGFB2,-1.426549037,29.90233846,10,-1497.748999,-1528.282292,4.50509E-12
PAPSS1,-0.291675563,312.8925818,253.3089885,-22712.39131,-22742.8684,4.75683E-12
PPP2R3A,-1.300811834,65.33884689,25.63361241,-6276.401434,-6306.841189,4.93031E-12
EFHC2,0,10,10,-433.8875218,-464.3103482,5.00849E-12
YWHAB,0.493442466,353.6785224,516.873119,-26641.89453,-26672.29817,5.0992E-12
C8A,0.944569148,10,20.31019214,-1691.817714,-1722.174817,5.33323E-12
DAP,1.057911334,44.52931115,96.06812555,-9601.719711,-9632.055238,5.44265E-12
MTPN,0.661138788,110.8550963,179.2959729,-15640.2439,-15670.57644,5.4536E-12
ZNF827,0.245406184,103.3491249,123.2910681,-14792.8609,-14823.1891,5.4719E-12
KLHL42,0.611646309,130.2208558,203.5158597,-16954.39777,-16984.70787,5.56512E-12
RGS17,-0.347592432,91.74032782,70.78352982,-12320.30147,-12350.49254,6.25085E-12
RPL39,0.019738104,408.6989378,410.0457679,-22726.58274,-22756.7543,6.3662E-12
CYB5R2,-1.376602483,45.68294888,16.89802477,-4027.98512,-4058.154363,6.37483E-12
CAPZA1,-0.562869102,239.8828385,161.2405093,-16385.47546,-16415.61009,6.5896E-12
SPINT1,-0.23396708,170.1942795,141.0021783,-17618.46773,-17648.59155,6.654E-12
FRRS1L,0.879009637,45.85215482,85.05667163,-8886.885923,-8916.957351,6.99955E-12
IGSF10,-0.992819886,19.42702385,10,-3192.12997,-3222.186496,7.09643E-12
WDR86,-1.035776782,20.67496089,10,-2094.786257,-2124.838774,7.11797E-12
EPOR,1.246020048,37.204928,94.01293703,-9323.718449,-9353.703753,7.59763E-12
RBMS1,-0.940176332,64.00880982,32.3467631,-8409.509651,-8439.425478,8.12769E-12
TMEM54,1.515934503,13.59839926,41.12776556,-3982.34898,-4012.227184,8.42647E-12
DPEP1,-0.911879311,23.73091279,10,-544.8875734,-574.694355,9.0316E-12
HCFC1R1,1.264990211,39.2506195,99.65401955,-8460.651563,-8490.451536,9.08402E-12
NRIP1,-0.575591764,133.0924737,88.99622686,-13192.27059,-13222.04484,9.30831E-12
ARG2,1.548249321,16.9206622,53.9454717,-6140.935652,-6170.679394,9.58322E-12
JUNB,0.269567356,112.1841686,138.4267868,-14462.25387,-14491.9627,9.90903E-12
CCSER1,0.967177622,35.26860416,69.56469286,-7371.473367,-7401.179003,9.93121E-12
PAQR8,-1.226950806,24.82820333,10,-1815.266037,-1844.950525,1.01308E-11
PAPPA2,0.812804517,33.91166284,58.88730784,-4147.644866,-4177.328422,1.01309E-11
PLA2G16,0.897513597,32.70002388,60.15322647,-6455.945239,-6485.622144,1.01882E-11
HMGN2,0.823521955,166.9265265,315.1756958,-19409.96479,-19439.62599,1.03374E-11
CHRNA1,0,10,10,-401.2178296,-430.8065826,1.1091E-11
NCKIPSD,-1.770384479,76.73430905,20.27121064,-5012.982689,-5042.568833,1.11094E-11
C12orf57,0.774484971,105.2669579,184.461815,-14403.11853,-14432.69387,1.1218E-11
HPCA,1.311961516,24.76311235,63.62910841,-6310.522962,-6340.070946,1.15136E-11
NACA,0.520244976,148.9030341,218.3469478,-14271.7581,-14301.28219,1.17767E-11
IRS2,0.813961887,88.05333817,158.2559045,-12200.92136,-12230.42936,1.19538E-11
HIP1,-1.327082004,26.80221308,10,-1758.225627,-1787.712808,1.21902E-11
NUCB2,0.619332803,88.13406237,135.9564875,-13160.45809,-13189.90969,1.26131E-11
UTRN,0.690922767,71.82071234,115.6193286,-10022.13328,-10051.49304,1.3793E-11
CHRNA5,1.237880231,11.01496474,27.9950279,-4984.033627,-5013.382225,1.39277E-11
MEP1B,0,10,10,-205.3459072,-234.6939676,1.39277E-11
CTSA,0.95677577,29.05573767,57.28587815,-7734.084856,-7763.367515,1.48397E-11
YBX1,-0.17463925,1027.771118,914.2574655,-32652.10182,-32681.35574,1.52515E-11
MYH14,1.323245805,36.14621355,95.90346551,-7893.343689,-7922.573178,1.56084E-11
C21orf91,-0.765433763,69.48916599,40.24239013,-8744.741654,-8773.924398,1.63281E-11
ATP6V0E2,0.748916613,86.61391494,147.6470155,-12902.15206,-12931.29211,1.70104E-11
MED24,-0.519273889,90.79923109,65.1654602,-9112.838862,-9141.978167,1.70104E-11
JKAMP,-0.916222334,127.6994679,65.57742815,-11596.31767,-11625.43985,1.72838E-11
CTNNA3,1.195785302,10,26.53036865,-1203.466964,-1232.563901,1.77026E-11
SNW1,-0.667440134,119.2231602,75.24672653,-10139.19951,-10168.26622,1.82204E-11
TUBB2B,-0.409166437,471.6448985,352.668477,-24138.72635,-24167.72191,1.95236E-11
NTM,1.199465165,63.43870127,159.0587758,-11775.24522,-11804.22042,1.99006E-11
CBARP,-0.354724161,47.31008099,39.2323699,-6880.879559,-6909.846248,2.00502E-11
MTHFD2,0.966673545,35.80760778,70.14683601,-6722.680009,-6751.579892,2.13925E-11
QPCT,0.751241798,54.32348292,95.16616097,-11590.02579,-11618.91806,2.15341E-11
SNAP25,0.661049665,173.0791796,282.4422908,-17089.86921,-17118.7283,2.22288E-11
ADARB2,-0.912038371,61.75741797,32.71679557,-4448.418686,-4477.253836,2.2738E-11
AQP10,1.707375062,10,37.05129393,-1792.325072,-1821.123108,2.35623E-11
MBNL2,0.681671366,41.34586791,66.92515871,-4785.989791,-4814.783072,2.36519E-11
RBMX2,-0.742469742,92.74571956,54.56106565,-10398.46234,-10427.22599,2.43296E-11
NOTUM,-0.699110226,20.85542578,10,-271.4136426,-300.1639922,2.46282E-11
C1orf198,-1.347012373,70.64802572,26.53863948,-5622.202792,-5650.907241,2.57424E-11
C12orf75,0.468370981,531.45262,772.6748065,-29813.96949,-29842.65926,2.60937E-11
MARCH6,-0.324828424,486.8047073,388.9252467,-25871.00368,-25899.67917,2.64394E-11
HIC2,-1.364422525,90.23769053,32.90061672,-7874.997419,-7903.664225,2.66194E-11
PPIB,0.187486815,117.8081536,133.7773282,-15935.1924,-15963.85989,2.66194E-11
FASN,-0.007546903,329.081564,329.6871156,-24596.46706,-24625.11755,2.70195E-11
SEZ6L2,0.23616949,471.9670968,560.198178,-28696.07955,-28724.7294,2.70195E-11
CA8,-1.243123667,35.13644969,14.87578337,-4287.789648,-4316.389444,2.83576E-11
RPS18,0.225795706,458.1252653,541.4552784,-25109.32157,-25137.90668,2.87449E-11
NFATC2,-1.88234291,46.05531769,11.65605045,-3528.823275,-3557.405408,2.8804E-11
FAM155A,1.772173558,10,35.77358251,-2962.371413,-2990.952205,2.88169E-11
CREB3L2,0.703452204,50.23045525,81.83902281,-9700.156838,-9728.734101,2.88918E-11
CNOT6,-1.131082454,120.6306493,52.37539799,-9399.861372,-9428.410619,2.96728E-11
TOMM34,0.823918544,128.1299987,237.1303285,-16590.21615,-16618.69165,3.18761E-11
COL5A1,-0.306055235,14.10025826,10,-645.8374555,-674.3020273,3.21925E-11
DIO3,0.621196497,22.67203467,34.91132651,-2123.275898,-2151.712256,3.30691E-11
SV2A,-0.572773442,190.4703913,126.9761063,-15817.40313,-15845.82936,3.33711E-11
SH3GL2,1.520495519,21.63851921,66.90477235,-6334.808028,-6363.227975,3.35487E-11
BCL11A,-1.516001291,28.42848128,10,-3424.272213,-3452.624343,3.58304E-11
ACHE,-1.505510129,60.30135348,19.68721564,-3918.029504,-3946.275655,3.96955E-11
RPL32,-0.003623622,1005.035155,996.2916483,-32525.69572,-32553.94224,3.96955E-11
ZDHHC14,-0.373082491,175.8256497,135.898363,-16745.95324,-16774.19065,4.00034E-11
TST,-1.524320253,72.37497913,23.51111753,-5241.378211,-5269.577206,4.1507E-11
RPS27,0.148330416,1476.03242,1644.351866,-36794.11683,-36822.31389,4.155E-11
ZNF467,1.298002614,34.17550957,88.73126859,-7628.105549,-7656.297887,4.17075E-11
CRNDE,-1.031015764,21.52003872,10,-1634.814115,-1662.994754,4.21536E-11
RAB12,1.274686927,40.68599639,105.343753,-8935.830287,-8963.955855,4.44598E-11
USP10,-0.941396985,186.5255424,92.12335535,-12573.57334,-12601.69402,4.46356E-11
SLC7A2,-0.41981824,167.4973002,123.5077839,-16434.06158,-16462.13247,4.6834E-11
POLR1D,0.590370243,156.5857977,238.6698888,-16930.50255,-16958.54173,4.82748E-11
SNHG1,-1.10193674,95.25123584,42.27656397,-6862.980199,-6890.998545,4.92314E-11
UQCRH,0.245643535,348.1244601,409.8307625,-22607.27457,-22635.29045,4.93087E-11
OBSL1,-1.36898199,76.66759386,27.98162692,-5533.135103,-5561.117976,5.08908E-11
LAMP1,0.230286945,255.4108067,297.3449872,-22191.40817,-22219.38609,5.10952E-11
TSC22D3,-0.51373473,67.93491413,48.9447706,-8440.068422,-8468.013507,5.2726E-11
BCKDK,-1.176144922,94.69912705,40.1598982,-7919.686354,-7947.620222,5.3265E-11
