Gene Symbol,"log2 fold-change Start vs. end of PDT trajectory","expression (tpm) at pseudotime 0","expression (tpm) at pseudotime 1","log likelihood of GLM model with pseudotime","log likelihood of GLM model without pseudotime","FDR corrected q-value from likelihood ratio test"
CD36,3.42964439,10,113.2420395,-5140.845737,-5370.680535,3.37961E-97
NFKB1,-1.723073011,401.4459856,115.0225261,-16905.58123,-17134.62924,7.3421E-97
STAT1,-1.294402528,271.2758496,110.1034961,-16001.10024,-16217.8814,1.50446E-91
TSPAN2,-2.907604028,163.6121963,20.10400307,-8697.18029,-8913.56033,2.2246E-91
IGDCC3,-3.028528328,189.6494582,21.17134911,-6413.833493,-6628.847285,8.61673E-91
ABLIM1,1.852454338,106.9039483,416.2526833,-16624.95684,-16835.14249,1.05539E-88
RGS9,-2.834090242,170.2067367,22.08597848,-8222.074988,-8428.81317,3.26005E-87
RPL5,0.742104554,1056.025066,1808.542946,-34899.75865,-35106.18749,4.39999E-87
AHCYL1,-1.198649496,793.0717822,330.16773,-27326.04479,-27531.81698,8.3982E-87
RBP4,3.317554309,10,111.4870157,-3371.119147,-3575.487519,3.37791E-86
EEF1A1,0.576248146,5040.724011,7615.979922,-47895.62564,-48099.03295,8.73601E-86
GAS2L3,1.888087253,52.06869538,195.5680844,-10813.05871,-11016.29004,1.03251E-85
IGF1R,-1.861655463,297.2009996,77.71830674,-14626.13417,-14827.54993,6.26343E-85
CRIP2,1.492176425,141.2917678,417.3704132,-20197.64988,-20398.04332,1.72225E-84
UCP2,-1.626155576,377.9193393,114.4729822,-20038.79458,-20238.69173,2.80232E-84
SERPINI1,3.104710463,16.11544234,154.1038223,-8370.527473,-8569.030615,1.11654E-83
SPTSSB,2.504239506,33.96275804,211.3153824,-11510.05043,-11708.27154,1.46735E-83
TMED8,-1.671790933,442.4219275,130.8396346,-17162.39365,-17359.93723,2.86125E-83
NOS1AP,3.44078875,12.79753859,160.0418873,-7513.318181,-7710.704344,3.32114E-83
SLC30A1,3.501275195,10,125.5055027,-3827.130972,-4022.88797,1.6734E-82
MT1X,2.837866066,10,84.5968227,-1546.496338,-1741.838496,2.5113E-82
HSPA5,0.624736181,1322.742204,2064.220408,-39813.23683,-40005.87766,3.68704E-81
RAB11FIP1,-2.076483331,305.03168,66.96828433,-13032.17779,-13223.29521,1.67193E-80
ST6GAL1,-1.887377126,411.4110791,102.4103646,-16039.13243,-16228.79698,7.06671E-80
RBPMS2,-3.399879161,116.3524072,10,-3743.054059,-3932.610108,7.81474E-80
TFF3,1.145944266,144.5894997,325.2500649,-12447.08561,-12635.45984,2.52082E-79
MAFB,-0.206198586,2123.825255,1848.407851,-41808.93339,-41997.21604,2.7413E-79
RPS12,0.378887977,1529.116547,2004.579293,-36726.23487,-36914.23526,3.60571E-79
PLPPR5,1.538909996,124.2880581,392.3805369,-21701.60904,-21889.42772,4.29033E-79
POTEE,-0.608900368,3338.170928,2154.043091,-42236.83185,-42424.46593,5.11994E-79
FGF14,-0.899149756,263.9010808,143.4879603,-19566.27631,-19752.86755,1.43814E-78
TNFRSF21,-3.447130838,154.4212771,12.78790423,-3783.192636,-3968.57246,4.77939E-78
SPOCK1,-1.886298793,97.34978589,27.18679936,-7915.512317,-8100.234987,9.13884E-78
SFRP1,-3.281003471,198.4283693,17.48615342,-6183.631077,-6366.85049,4.06342E-77
CADM1,1.505053183,120.5506968,356.8432886,-18399.01185,-18581.56126,7.87066E-77
CXXC4,-0.857429746,421.2935896,228.4681754,-25191.51555,-25372.69485,3.06454E-76
PTGER3,3.58634025,10,132.0888065,-5766.907053,-5946.86637,1.02733E-75
CYSTM1,1.733240389,100.3079585,355.5556175,-15915.02868,-16094.85784,1.16166E-75
GCA,-2.165091518,272.0696109,55.83888842,-11748.4768,-11927.23835,3.34551E-75
SCGN,-0.30939914,2145.477346,1736.894925,-40772.29312,-40951.04562,3.35287E-75
CBX6,1.069636819,248.3416482,543.2569304,-26292.85291,-26471.40162,4.08068E-75
ARL4C,-1.209586021,159.8014553,68.30083644,-15106.33667,-15284.65115,5.11977E-75
DUSP5,-2.832874238,79.38900422,10,-2080.770886,-2258.219514,1.20595E-74
MUC3A,-2.989747025,97.97149025,10,-1679.621955,-1856.75704,1.63769E-74
PALLD,1.693152481,101.0730185,352.5944918,-18929.70015,-19106.45623,2.3741E-74
CD74,-2.043967593,272.1571185,61.42171122,-11928.54137,-12104.52777,5.08136E-74
APOC1,-2.919706557,201.950816,23.48357752,-6570.879918,-6746.598018,6.59692E-74
LIMS1,2.197266365,45.345005,225.126256,-12016.18747,-12190.33529,3.13731E-73
TIMP1,1.387789865,72.10406567,199.2187773,-14991.86745,-15162.64499,8.97927E-72
LRP4,-2.462307374,54.63711054,10,-4056.030403,-4225.43176,3.51872E-71
ST3GAL6,-2.636709808,70.15551992,10,-1987.867221,-2153.921647,9.83725E-70
RPS3A,0.570131887,818.3457957,1233.931795,-31815.29056,-31981.28908,1.03358E-69
TPH1,-1.936317399,331.8685617,79.38567475,-12825.81628,-12991.52754,1.36773E-69
ASS1,2.805145696,14.44686166,109.5493951,-7842.015685,-8006.85098,3.25518E-69
FLNA,-2.885078993,117.7478731,15.06011104,-5805.330772,-5969.677091,5.26751E-69
BEX1,1.143405121,376.9614088,883.2190625,-28898.50197,-29062.11,1.09294E-68
SERPINF1,-2.868514491,82.61252357,10,-2410.980194,-2571.840009,1.68197E-67
VIM,-1.688674456,309.5349868,83.61688002,-9851.954318,-10012.35152,2.65136E-67
RPS19,-0.227860122,1946.56008,1633.857117,-36602.25132,-36762.53001,2.96586E-67
WDR45B,-1.069279264,524.9422856,242.1447465,-20828.97831,-20987.31009,2.05324E-66
ELMO1,2.925358782,10,77.91623105,-5014.844212,-5172.595529,3.64037E-66
MT1E,2.450259447,10,67.23177811,-1060.040226,-1216.181416,1.80145E-65
THSD4,-3.186495982,126.4179697,12.2734006,-6613.008188,-6766.426979,2.7014E-64
NLGN3,-2.583135106,143.7213691,22.41689654,-5457.328029,-5610.336492,4.04266E-64
LOXL2,-3.464611162,124.5673034,10,-4628.472108,-4781.28026,4.90734E-64
MT1F,2.974840734,10,102.9168283,-1553.181435,-1705.251781,1.01791E-63
MAF,2.061346141,27.45445205,120.2499521,-9998.530314,-10150.59241,1.02042E-63
LPGAT1,2.403360839,28.33875638,163.3825858,-9943.377546,-10094.69366,2.13405E-63
PALM2,2.763176254,10,68.13374009,-4678.661268,-4829.579426,3.15494E-63
ERO1B,0.49571864,579.6709926,846.0902324,-33481.16343,-33631.86662,3.88671E-63
CD24,-0.819092658,572.7027213,322.829092,-25507.55989,-25656.92064,1.47306E-62
SCG2,1.076242157,232.308323,502.6469673,-21925.43141,-22074.40525,2.15407E-62
BMP5,1.717474521,10,32.37918776,-2977.446573,-3126.042843,3.12083E-62
MNX1,-0.959661829,540.562318,273.1740288,-23042.04275,-23189.33608,1.13717E-61
LDLRAP1,-3.016843007,84.89721184,10,-3930.505282,-4076.852184,2.90448E-61
PAG1,2.294855233,10,50.69898117,-2798.946566,-2943.870375,1.19295E-60
RPL13A,0.36787086,2356.667248,3055.59588,-40693.96533,-40836.90463,8.57325E-60
VGF,2.669756029,22.71506076,163.3286161,-8960.140245,-9103.046966,8.80827E-60
RPLP1,0.41640081,975.6249111,1319.544119,-32752.54074,-32894.9342,1.46109E-59
RPS2,0.438071723,2002.88782,2750.024896,-39588.71036,-39730.83229,1.90486E-59
CXCR4,-2.994167886,146.6055285,16.16969004,-3457.14133,-3598.720052,3.25562E-59
PGAM1,-0.86601047,670.1514033,360.3694624,-25484.13396,-25624.50803,1.07563E-58
ZNF703,-1.489380124,262.0239064,90.27330422,-12721.66968,-12861.90698,1.22619E-58
RPS23,-0.066185547,2645.783359,2511.730937,-39941.68552,-40081.38247,2.08985E-58
SLC30A8,-0.732495726,493.6247191,295.310981,-25835.39709,-25973.78265,7.67977E-58
SLC7A5,-2.23658179,153.1518345,30.32206262,-9366.522204,-9504.889747,7.7783E-58
COL18A1,-2.419374717,56.95571398,10,-2567.297152,-2705.334391,1.07541E-57
RPS20,0.505291954,475.1160425,682.8643299,-24871.25429,-25009.28384,1.07813E-57
KIAA1324,1.08606025,170.8523306,378.8584243,-22583.07069,-22720.97794,1.21163E-57
RPS4X,0.436132966,1320.947222,1806.24638,-35995.48984,-36133.33266,1.28541E-57
ERBB3,-3.165490622,97.21782615,10,-3967.659849,-4104.129781,5.02252E-57
KIAA1456,-2.832680213,78.29620329,10.10850832,-6786.119429,-6921.323582,1.76379E-56
SQSTM1,0.869618808,277.4475415,512.0907013,-23712.60868,-23847.62644,2.11312E-56
PXDN,-1.150774562,250.2037294,110.3026012,-17667.0898,-17801.95798,2.44051E-56
TMEM130,3.127607,10,92.35427714,-5296.999227,-5430.809766,6.96552E-56
ABAT,1.383482172,128.3408806,358.7631312,-20550.28172,-20683.44215,1.32463E-55
JUN,-0.780762712,257.7401282,151.3174121,-18611.31067,-18744.43471,1.36682E-55
GHRH,2.066763279,10,44.86794568,-1753.766096,-1886.455525,2.09715E-55
EIF4A2,0.627351396,1009.443611,1587.531139,-35501.57958,-35633.52733,4.36934E-55
PDZK1,1.74536796,59.73316443,215.0215314,-14364.75642,-14496.31562,6.40357E-55
HERPUD1,1.115367136,165.0056734,365.0132273,-18750.0446,-18880.81321,1.3941E-54
SURF4,-0.979431542,545.7708456,269.7512963,-23715.62499,-23846.396,1.3941E-54
SLC4A10,2.497169694,10,56.95717166,-5113.4228,-5243.947986,1.76823E-54
CORO2B,-2.06768429,139.7781447,31.81577351,-8699.947679,-8830.171714,2.37556E-54
SLC14A1,-2.502270779,72.32910077,10,-919.0573373,-1048.128229,7.4576E-54
TOMM7,0.740839353,421.1665932,713.0834819,-26586.19743,-26714.77537,1.21287E-53
IER2,-2.385550611,58.20524053,10.5703245,-6548.812021,-6676.933427,1.90233E-53
STMN2,0.517813699,1446.582904,2101.603461,-39278.88997,-39406.24173,4.07583E-53
NPM1,0.401073433,876.9686406,1152.845975,-32272.81278,-32399.90918,5.23203E-53
TMX1,-1.910580485,246.6408249,60.37407816,-11535.75343,-11662.75747,5.70981E-53
RPL23,0.131352585,941.8837685,1038.517144,-30804.05178,-30930.92044,6.5041E-53
FZD3,-1.27314741,325.6072524,129.1965765,-19045.59499,-19172.30364,7.59312E-53
LMO1,2.881294183,18.52816578,157.2432774,-7420.998342,-7547.431385,9.94641E-53
GCK,-1.410904863,275.0337988,99.28275709,-13956.88577,-14082.48721,2.26692E-52
SLC18A1,-2.903122046,82.51805982,10,-3182.458832,-3307.585446,3.62137E-52
AK4,-2.483138691,150.800185,24.55289988,-7497.809715,-7622.848833,3.93341E-52
NREP,-0.902053748,611.2018842,319.2491933,-25033.66049,-25158.42167,5.16481E-52
TLE3,-2.43700233,181.9632825,29.9937802,-7683.24973,-7807.406006,9.39245E-52
PLD3,0.513714705,973.2771749,1420.964539,-37016.27062,-37139.81066,1.72746E-51
INHBB,-2.933041328,92.71270304,11.29386497,-4645.851291,-4768.044951,6.57441E-51
JARID2,-1.126952552,364.0320828,162.2485881,-18231.55026,-18352.1492,3.20404E-50
NKAIN3,-2.215526653,50.76083482,10,-2044.741692,-2165.075718,4.15311E-50
CALM1,0.648085999,710.4707206,1140.492668,-33792.24431,-33912.17457,6.18178E-50
CALY,1.019408414,160.2149333,340.0571586,-21500.6294,-21620.22079,8.62549E-50
MLF1,-1.916367187,264.5519001,64.38277529,-11159.10752,-11277.78417,2.1356E-49
FNIP2,0.441529078,294.3264934,402.2002589,-26308.85325,-26427.2951,2.68657E-49
EEF2,0.526256388,973.7065461,1425.102699,-33861.19157,-33979.19102,4.15589E-49
PDE5A,-2.522671383,58.12769759,10,-5427.886857,-5545.735986,4.80645E-49
CSTB,0.62318909,457.2367555,706.3273503,-28799.20726,-28916.60878,7.47405E-49
SCG5,-0.736707781,1023.511304,596.8146456,-32389.54257,-32506.86562,8.04735E-49
FSTL5,-1.763326629,172.0017834,47.26684944,-10614.23291,-10731.22729,1.11164E-48
CDH1,-1.188423992,479.648167,199.8300475,-20717.71529,-20833.88172,2.52455E-48
PTPRN,0.220062343,535.6890303,628.5660114,-31563.85637,-31679.78028,3.20071E-48
KCNN3,-2.171871891,147.2553948,30.31220863,-8957.971563,-9073.559382,4.45429E-48
UGT2B7,2.077454125,10,45.11442201,-2075.211293,-2190.006839,9.7629E-48
SELENBP1,-2.331282816,97.55829685,18.53516117,-6450.857354,-6564.463074,3.17892E-47
CDC42EP3,-1.4284163,260.2190368,92.45104168,-15261.52428,-15375.03802,3.46951E-47
PHLDA1,-2.591958277,67.67449571,10,-1963.256783,-2076.546645,4.31813E-47
RPL9,0.424466002,623.0093374,846.8868291,-28064.26389,-28177.48628,4.5994E-47
RFX6,-1.816540131,258.1037581,67.13953808,-12858.17765,-12971.38931,4.63E-47
SLC24A4,-1.490023654,29.8949574,10,-970.4884929,-1083.466791,5.81739E-47
SLC22A17,0.964020787,223.8569802,457.5944491,-24616.61478,-24729.58844,5.82085E-47
SERPINA1,1.58782669,27.98590711,80.69231491,-5546.559612,-5659.327055,7.11887E-47
RPL10,0.345219955,1414.593696,1801.500939,-36509.82553,-36622.17571,1.07422E-46
NR3C1,0.444415719,503.6093482,711.084602,-31764.60082,-31876.61462,1.49558E-46
PBX1,-1.0474948,510.2208732,236.031405,-24102.98143,-24214.83751,1.74294E-46
OGFRL1,3.237893666,10,106.504168,-5703.040744,-5814.067775,3.96297E-46
WFDC2,-1.57956221,193.4228135,62.06481733,-12425.6204,-12536.49111,4.61213E-46
RPS27A,0.13333825,2318.73446,2508.223895,-39914.15251,-40024.97438,4.82298E-46
KCND3,-2.850432184,81.72710811,10,-2493.633347,-2604.186333,6.27878E-46
PLPP3,1.855033196,55.76065033,216.8056932,-8913.626194,-9024.09045,6.83205E-46
LOXL4,-1.990468342,115.2493707,28.2051171,-4582.98601,-4693.103141,9.61498E-46
MLLT11,-0.663236436,888.8404478,553.2065655,-30260.03944,-30369.31243,2.21933E-45
TCF7L2,-1.608490929,197.1983613,61.9095167,-10149.46745,-10258.1151,4.12008E-45
RPL7,0.114787638,2061.119508,2213.691349,-38964.93015,-39073.32634,5.27175E-45
CRYBA2,-0.571559592,197.5742091,134.8102306,-18157.7791,-18265.9374,6.65491E-45
SORD,-1.49139547,234.9435885,79.78249249,-13520.3479,-13627.8144,1.31995E-44
AP3B1,1.124022119,137.2847151,313.8239793,-19071.54155,-19177.64927,5.08496E-44
MMP11,-2.808937095,80.45971932,10,-2457.18542,-2563.242915,5.32552E-44
TMEM176B,-1.428657197,377.8103141,130.1858604,-17210.22213,-17315.99486,7.04408E-44
MYO10,-1.507696348,142.1731069,49.117099,-10549.41598,-10654.74384,1.09269E-43
TRIM2,1.177772479,110.5487016,263.9596106,-18649.70183,-18754.8645,1.28317E-43
VAMP2,0.695570968,443.0821284,735.0641955,-29790.71726,-29895.85097,1.31581E-43
CHODL,-2.617122246,72.3011461,11.65869577,-2612.488967,-2716.921944,2.63313E-43
NPTX2,1.056615266,115.9946622,246.1744771,-11686.94127,-11791.37012,2.63423E-43
RPS13,-0.050507672,2377.831738,2263.740008,-39421.33591,-39525.36687,3.8998E-43
NECTIN3,1.29418406,64.32436879,163.0153227,-14087.05651,-14190.51075,6.898E-43
DAAM1,-0.001074326,422.6986866,420.6671255,-28581.99239,-28685.11928,9.51982E-43
CADPS,0.60894218,422.0690133,662.2123685,-29888.47689,-29991.57257,9.78453E-43
NUDT3,0.71795315,379.7642027,642.5546208,-28666.29778,-28768.8867,1.61435E-42
LHFP,2.845854564,12.44354468,103.1644916,-7441.423582,-7543.937422,1.73332E-42
ONECUT2,0.472520469,806.2090372,1131.321372,-35282.95633,-35384.03056,7.23584E-42
ABCC8,0.315445429,570.025681,723.9291224,-32303.89904,-32404.80834,8.49606E-42
NDN,1.338608524,116.4877808,314.2369428,-18500.80913,-18601.62188,9.31946E-42
PAPSS2,1.206082004,105.3550805,253.305742,-17304.61313,-17405.28952,1.06361E-41
ITGB1,-0.341113051,733.1266899,579.4505746,-31796.98726,-31897.63483,1.09068E-41
BSCL2,-0.143632169,493.8459775,458.006544,-28819.19489,-28919.26143,1.93758E-41
TSPAN5,-2.353099851,124.5269855,22.44712431,-6450.888214,-6550.831405,2.18291E-41
AGT,-3.215222133,106.0983853,10,-3290.555175,-3390.432785,2.32197E-41
C6orf48,0.404475634,813.9766582,1073.726104,-32255.32421,-32355.19136,2.32997E-41
RPS17,-0.569733247,861.1685249,563.6798279,-27964.26182,-28064.13106,2.32997E-41
WLS,-1.190869085,278.0876273,118.0709908,-16052.82557,-16151.63841,6.62893E-41
FRMD4B,-1.914371663,82.55313764,21.19905748,-7493.431919,-7592.000719,8.42164E-41
